Address,Type,Datetime,Latitude,Longitude
1911 22nd Ave S,Auto Fire Alarm,2025 Dec 30 03:41:00 PM,47.586234,-122.304237
20th Ave S / S Holgate St,Rubbish Fire,2025 Dec 30 03:32:00 PM,47.586339,-122.306839
Nb I5 To Columbian,Car Fire Freeway,2025 Dec 30 02:48:00 PM,47.569155,-122.319826
431 Boylston Ave E,Auto Fire Alarm,2025 Dec 30 02:41:00 PM,47.622348,-122.32307
3501 Sw Avalon Way,Rubbish Fire,2025 Dec 30 02:14:00 PM,47.564075,-122.376191
1594 Alki Ave Sw,Auto Fire Alarm,2025 Dec 30 02:04:00 PM,47.589138,-122.394549
7930 Rainier Ave S,Auto Fire Alarm,2025 Dec 30 02:02:00 PM,47.530717,-122.269989
4602 14th Ave Nw,Auto Fire Alarm,2025 Dec 30 01:31:00 PM,47.662209,-122.373595
415 6th Ave,Rubbish Fire,2025 Dec 30 01:30:00 PM,47.603396,-122.327378
1311 S Massachusetts St,Auto Fire Alarm,2025 Dec 30 01:10:00 PM,47.588437,-122.315855
4918 17th Ave Nw,Illegal Burn,2025 Dec 30 12:57:00 PM,47.664512,-122.37889
3327 Beacon Ave S,Auto Fire Alarm,2025 Dec 30 12:41:00 PM,47.573784,-122.308819
1315 Ne Campus Pkwy,Auto Fire Alarm,2025 Dec 30 11:13:00 AM,47.655998,-122.31426
1936 Eastlake Ave E,Auto Fire Alarm,2025 Dec 30 11:08:00 AM,47.636192,-122.325698
521 Stadium Pl S,Auto Fire Alarm,2025 Dec 30 10:21:00 AM,47.597968,-122.331585
660 W Ewing St,Auto Fire Alarm,2025 Dec 30 09:32:00 AM,47.652523,-122.365122
3430 Rainier Ave S,Rubbish Fire,2025 Dec 30 09:32:00 AM,47.572606,-122.293767
5th Ave / Olive Way,Rubbish Fire,2025 Dec 30 09:07:00 AM,47.612665,-122.337394
14th Ave Nw / Nw 45th St,RV Fire,2025 Dec 30 08:21:00 AM,47.661473,-122.373598
12th Ave S / S Charles St,Rubbish Fire,2025 Dec 30 08:17:00 AM,47.593834,-122.317281
3000 S Estelle St,Rubbish Fire,2025 Dec 30 08:05:00 AM,47.571895,-122.293225
1101 Madison St,Auto Fire Alarm,2025 Dec 30 08:02:00 AM,47.609343,-122.325128
900 University St,Auto Fire Alarm,2025 Dec 30 07:08:00 AM,47.61055,-122.329318
10th Ave S / S Jackson St,Rubbish Fire,2025 Dec 30 06:42:00 AM,47.599184,-122.319639
2700 Rainier Ave S,Illegal Burn,2025 Dec 30 06:35:00 AM,47.579214,-122.29881
12th Ave E / E John St,Rubbish Fire,2025 Dec 30 06:34:00 AM,47.619937,-122.316928
1st Ave / Pike St,Illegal Burn,2025 Dec 30 06:32:00 AM,47.608821,-122.340013
1145 Broadway,Rubbish Fire,2025 Dec 30 06:11:00 AM,47.611511,-122.32076
4th Ave / Pine St,Rubbish Fire,2025 Dec 30 04:43:00 AM,47.611207,-122.337592
12517 33rd Ave Ne,Illegal Burn,2025 Dec 30 01:49:00 AM,47.719378,-122.292729
5043 Brooklyn Ave Ne,Auto Fire Alarm,2025 Dec 30 01:43:00 AM,47.665234,-122.314205
6th Ave / Marion St,Illegal Burn,2025 Dec 30 12:26:00 AM,47.606302,-122.330039
Elliott Ave W / W Galer St,Rubbish Fire,2025 Dec 29 11:56:00 PM,47.632252,-122.375652
4337 15th Ave Ne,Auto Fire Alarm,2025 Dec 29 11:51:00 PM,47.66005,-122.312025
705 E REPUBLICAN ST,Illegal Burn,2025 Dec 29 11:33:00 PM,47.623136,-122.323004
3621 33rd Ave S,Auto Fire Alarm,2025 Dec 29 11:32:00 PM,47.571408,-122.291001
200 Summit Ave E,Illegal Burn,2025 Dec 29 11:31:00 PM,47.619651,-122.325294
15th Ave Nw / Nw Market St,Illegal Burn,2025 Dec 29 11:13:00 PM,47.668667,-122.376214
850 Nw 45th St,Illegal Burn,2025 Dec 29 09:33:00 PM,47.661465,-122.367159
4733 California Ave Sw,Rubbish Fire,2025 Dec 29 09:24:00 PM,47.560506,-122.386796
6901 Martin Luther King Jr Way S,Auto Fire Alarm,2025 Dec 29 09:02:00 PM,47.540684,-122.283048
412 25th Ave S,Auto Fire Alarm,2025 Dec 29 08:52:00 PM,47.599125,-122.299888
Beacon Ave S / S Lander St,Illegal Burn,2025 Dec 29 08:51:00 PM,47.579471,-122.312377
535 13th Ave E,Illegal Burn,2025 Dec 29 08:40:00 PM,47.62351,-122.315698
1700 17th Ave,Auto Fire Alarm,2025 Dec 29 08:34:00 PM,47.616443,-122.310151
1900 5th Ave,Auto Fire Alarm,2025 Dec 29 08:20:00 PM,47.612958,-122.337873
1250 5th Ave N,Auto Fire Alarm,2025 Dec 29 08:07:00 PM,47.630682,-122.347488
2014 E Madison St,Auto Fire Alarm,2025 Dec 29 07:59:00 PM,47.617381,-122.305854
2021 4th Ave,Rubbish Fire,2025 Dec 29 07:50:00 PM,47.61322,-122.340298
6940 62nd Ave Ne,Auto Fire Alarm,2025 Dec 29 07:45:00 PM,47.678821,-122.262227
