Address,Type,Datetime,Latitude,Longitude
1814 Minor Ave,Auto Fire Alarm,2025 Oct 31 11:51:00 AM,47.616942,-122.330731
701 Pike St,Auto Fire Alarm,2025 Oct 31 11:47:00 AM,47.611611,-122.333343
6th Ave / Spring St,Illegal Burn,2025 Oct 31 11:15:00 AM,47.60773,-122.331343
4th Ave S / S Washington St,Illegal Burn,2025 Oct 31 10:26:00 AM,47.600875,-122.328963
4535 12th Ave Ne,Auto Fire Alarm,2025 Oct 31 10:12:00 AM,47.661603,-122.315434
12550 26th Ave Ne,Illegal Burn,2025 Oct 31 09:45:00 AM,47.719742,-122.30048
Nb I5 At Corson,Fire Response Freeway,2025 Oct 31 09:29:00 AM,47.548716,-122.311984
601 Aurora Ave N,Auto Fire Alarm,2025 Oct 31 09:15:00 AM,47.625408,-122.343647
2510 Western Ave,Auto Fire Alarm,2025 Oct 31 08:55:00 AM,47.614082,-122.349692
819 Maynard Ave S,Auto Fire Alarm,2025 Oct 31 07:50:00 AM,47.595672,-122.325069
Lenora St / 2nd Ave,Illegal Burn,2025 Oct 31 07:44:00 AM,47.612502,-122.343053
1400 Nw Leary Way,Illegal Burn,2025 Oct 31 06:58:00 AM,47.663662,-122.373594
402 S Dawson St,Dumpster Fire,2025 Oct 31 06:55:00 AM,47.555636,-122.329508
1627 15th Ave,Illegal Burn,2025 Oct 31 06:51:00 AM,47.615596,-122.312765
12th Ave S / S King St,Illegal Burn,2025 Oct 31 06:33:00 AM,47.598338,-122.317228
1911 22ND AVE S,Brush Fire,2025 Oct 31 06:29:00 AM,47.586234,-122.304237
29th Ave Sw / Sw Cambridge St,Brush Fire,2025 Oct 31 06:23:00 AM,47.519227,-122.369998
Ne 67th St / 8th Ave Ne,Fire Response Freeway,2025 Oct 31 06:15:00 AM,47.677309,-122.320095
1000 8th Ave,Auto Fire Alarm,2025 Oct 31 03:46:00 AM,47.607945,-122.328471
915 Nw 45th St,Illegal Burn,2025 Oct 31 03:16:00 AM,47.661467,-122.368768
2201 E Madison St,Illegal Burn,2025 Oct 31 01:05:00 AM,47.618428,-122.303639
1263 6th Ave S,Rubbish Fire,2025 Oct 31 12:32:00 AM,47.591866,-122.325968
3039 17th Ave W,Illegal Burn,2025 Oct 31 12:08:00 AM,47.647683,-122.378846
1115 Nw Market St,Rubbish Fire,2025 Oct 31 12:02:00 AM,47.668662,-122.370893
9244 29th Ave Sw,Illegal Burn,2025 Oct 30 11:45:00 PM,47.520641,-122.369975
515 Madison St,Auto Fire Alarm,2025 Oct 30 10:41:00 PM,47.606624,-122.331628
669 S King St,Illegal Burn,2025 Oct 30 10:35:00 PM,47.598351,-122.324308
10501 Aurora Ave N,Illegal Burn,2025 Oct 30 10:33:00 PM,47.705051,-122.344694
Rainier Ave S / S Walker St,Illegal Burn,2025 Oct 30 10:25:00 PM,47.583656,-122.302199
915 Nw 45th St,Illegal Burn,2025 Oct 30 10:21:00 PM,47.661467,-122.368768
1802 17th Ave,Auto Fire Alarm,2025 Oct 30 09:47:00 PM,47.61762,-122.310139
2020 S Jackson St,Auto Fire Alarm,2025 Oct 30 09:43:00 PM,47.599261,-122.305296
4629 21st Ave Ne,Auto Fire Alarm,2025 Oct 30 08:41:00 PM,47.662432,-122.305466
MARTIN LUTHER KING JR WAY S / S LUCILE ST,Car Fire W/Exp.,2025 Oct 30 08:22:00 PM,47.55252,-122.288767
2707 Rainier Ave S,Illegal Burn,2025 Oct 30 08:21:00 PM,47.579152,-122.298763
1700 Summit Ave,Rubbish Fire,2025 Oct 30 07:29:00 PM,47.616342,-122.325543
3011 S Estelle St,Illegal Burn,2025 Oct 30 06:37:00 PM,47.571941,-122.293093
937 N 96th St,Auto Fire Alarm,2025 Oct 30 05:13:00 PM,47.698721,-122.34681
922 Mcgilvra Blvd E,Auto Fire Alarm,2025 Oct 30 05:02:00 PM,47.627072,-122.281529
916 N 143rd St,Auto Fire Alarm,2025 Oct 30 03:23:00 PM,47.732314,-122.347028
1215 Seneca St,Auto Fire Alarm,2025 Oct 30 03:11:00 PM,47.611301,-122.325164
12505 Greenwood Ave N,Auto Fire Alarm,2025 Oct 30 02:58:00 PM,47.719638,-122.355539
5th Ave Ne / Ne 97th St,RV Fire,2025 Oct 30 01:34:00 PM,47.699509,-122.323106
6860 East Green Lake Way N,Auto Fire Alarm,2025 Oct 30 12:48:00 PM,47.678461,-122.327093
305 Harrison St,Auto Fire Alarm,2025 Oct 30 11:12:00 AM,47.622089,-122.351371
221 18th Ave S,Auto Fire Alarm,2025 Oct 30 10:07:00 AM,47.600659,-122.308964
1802 17th Ave,Auto Fire Alarm,2025 Oct 30 09:21:00 AM,47.61762,-122.310139
9090 Ravenna Ave Ne,Auto Fire Alarm,2025 Oct 30 08:51:00 AM,47.694677,-122.304533
420 Boylston Ave E,Auto Fire Alarm,2025 Oct 30 08:09:00 AM,47.62222,-122.323073
Nb I5 To Ravenna,Car Fire,2025 Oct 30 07:43:00 AM,47.670323,-122.321644
1922 Airport Way S,Brush Fire,2025 Oct 30 07:20:00 AM,47.585854,-122.321393
3rd Ave / Yesler Way,Illegal Burn,2025 Oct 30 07:04:00 AM,47.601716,-122.330265
3rd Ave / Seneca St,Illegal Burn,2025 Oct 30 06:54:00 AM,47.60705,-122.335324
3621 33rd Ave S,Auto Fire Alarm,2025 Oct 30 06:25:00 AM,47.571408,-122.291001
Airport Way S / S Forest St,Illegal Burn,2025 Oct 30 06:06:00 AM,47.577739,-122.321401
1922 Airport Way S,Brush Fire,2025 Oct 30 06:03:00 AM,47.585854,-122.321393
100 Melrose Ave E,Auto Fire Alarm,2025 Oct 30 05:58:00 AM,47.618497,-122.327854
12517 33rd Ave Ne,Illegal Burn,2025 Oct 30 05:06:00 AM,47.719378,-122.292729
Alaskan Way S / S Washington St,Rubbish Fire,2025 Oct 30 04:58:00 AM,47.600882,-122.335931
223 Yesler Way,Auto Fire Alarm,2025 Oct 30 04:07:00 AM,47.601718,-122.331581
6249 AIRPORT WAY S,Rubbish Fire,2025 Oct 30 01:59:00 AM,47.547712,-122.314305
2427 Sw Holden St,Auto Fire Alarm,2025 Oct 30 01:55:00 AM,47.533699,-122.36353
425 Queen Anne Ave N,Auto Fire Alarm,2025 Oct 30 01:39:00 AM,47.622394,-122.356727
1610 2nd Ave,Rubbish Fire,2025 Oct 30 01:02:00 AM,47.610299,-122.339831
5826 16th Ave Ne,Illegal Burn,2025 Oct 30 12:32:00 AM,47.671754,-122.310769
4508 19th Ave Ne,Auto Fire Alarm,2025 Oct 29 11:36:00 PM,47.661321,-122.307244
12TH AVE S / S CHARLES ST,Illegal Burn,2025 Oct 29 11:00:00 PM,47.593834,-122.317281
800 Hiawatha Pl S,Illegal Burn,2025 Oct 29 10:52:00 PM,47.595874,-122.310218
4536 Brooklyn Ave Ne,Rubbish Fire,2025 Oct 29 09:22:00 PM,47.661599,-122.314278
3500 Sw Avalon Way,Dumpster Fire,2025 Oct 29 09:13:00 PM,47.564075,-122.376191
11519 16th Ave Ne,Car Fire,2025 Oct 29 07:59:00 PM,47.712319,-122.311099
2614 4th Ave,Auto Fire Alarm,2025 Oct 29 05:54:00 PM,47.617316,-122.347229
1430 2nd Ave,Rubbish Fire,2025 Oct 29 05:28:00 PM,47.608586,-122.338264
201 S Jackson St,Auto Fire Alarm,2025 Oct 29 05:00:00 PM,47.599201,-122.331566
2010 S Jackson St,Auto Fire Alarm,2025 Oct 29 04:39:00 PM,47.599258,-122.305827
1820 Minor Ave,Auto Fire Alarm,2025 Oct 29 03:57:00 PM,47.616989,-122.330811
2807 S Mcclellan St,Auto Fire Alarm,2025 Oct 29 03:44:00 PM,47.578347,-122.296116
533 3rd Ave W,Auto Fire Alarm,2025 Oct 29 03:42:00 PM,47.623717,-122.360635
S Mcclellan St / Rainier Ave S,Illegal Burn,2025 Oct 29 12:14:00 PM,47.57835,-122.298151
728 21st Ave E,Auto Fire Alarm,2025 Oct 29 10:09:00 AM,47.625436,-122.304724
1818 Queen Anne Ave N,Auto Fire Alarm,2025 Oct 29 10:08:00 AM,47.634953,-122.356967
1818 Queen Anne Ave N,Auto Fire Alarm,2025 Oct 29 09:51:00 AM,47.634953,-122.356967
2820 S Myrtle St,Auto Fire Alarm,2025 Oct 29 09:35:00 AM,47.538952,-122.295797
1704 Ne Columbia Rd,Auto Fire Alarm,2025 Oct 29 09:00:00 AM,47.650205,-122.310398
1705 Ne Pacific St,Auto Fire Alarm,2025 Oct 29 08:58:00 AM,47.651545,-122.309599
620 Terry Ave,Auto Fire Alarm,2025 Oct 29 08:52:00 AM,47.606157,-122.323768
105 Pike St,Auto Fire Alarm,2025 Oct 29 08:50:00 AM,47.608917,-122.339783
Ne 130th St / 35th Ave Ne,Illegal Burn,2025 Oct 29 08:42:00 AM,47.722639,-122.290831
1830 E Mercer St,Auto Fire Alarm,2025 Oct 29 08:25:00 AM,47.624424,-122.30825
415 10th Ave,Auto Fire Alarm,2025 Oct 29 06:55:00 AM,47.605346,-122.319413
2nd Ave / Stewart St,Rubbish Fire,2025 Oct 29 05:36:00 AM,47.610964,-122.340452
420 4th Ave,Auto Fire Alarm,2025 Oct 29 05:09:00 AM,47.601986,-122.32914
1426 1st Ave,Auto Fire Alarm,2025 Oct 29 02:29:00 AM,47.608081,-122.339337
924 N 143rd St,Auto Fire Alarm,2025 Oct 28 11:23:00 PM,47.732314,-122.346635
1400 Madison St,Illegal Burn,2025 Oct 28 10:43:00 PM,47.61073,-122.32181
1704 Ne Columbia Rd,Auto Fire Alarm,2025 Oct 28 10:25:00 PM,47.650205,-122.310398
1010 Boylston Ave,Illegal Burn,2025 Oct 28 10:20:00 PM,47.610796,-122.32187
4504 18th Ave Ne,Auto Fire Alarm,2025 Oct 28 09:59:00 PM,47.661284,-122.308383
1616 Ne 47th St,Auto Fire Alarm,2025 Oct 28 09:57:00 PM,47.663072,-122.310635
2121 26th Ave S,Auto Fire Alarm,2025 Oct 28 09:07:00 PM,47.584234,-122.299024
705 Pike St,Auto Fire Alarm,2025 Oct 28 08:28:00 PM,47.61163,-122.333297
2104 Ne 45th St,Auto Fire Alarm,2025 Oct 28 08:11:00 PM,47.661303,-122.305045
10507 Aurora Ave N,Auto Fire Alarm,2025 Oct 28 07:55:00 PM,47.705096,-122.344695
800 Ne 67th St,Auto Fire Alarm,2025 Oct 28 07:17:00 PM,47.677309,-122.320095
1007 12th Ave S,Illegal Burn,2025 Oct 28 06:28:00 PM,47.59322,-122.317281
4040 26th Ave Sw,Auto Fire Alarm,2025 Oct 28 06:26:00 PM,47.567175,-122.365445
4219 Wallingford Ave N,Illegal Burn,2025 Oct 28 06:18:00 PM,47.658199,-122.336222
12th Ave S / Golf Dr S,Illegal Burn,2025 Oct 28 05:01:00 PM,47.594282,-122.316577
1100 23rd Ave,Auto Fire Alarm,2025 Oct 28 04:34:00 PM,47.611734,-122.302601
202 6th Ave S,Auto Fire Alarm,2025 Oct 28 04:19:00 PM,47.600854,-122.326354
2710 Beacon Ave S,Auto Fire Alarm,2025 Oct 28 03:43:00 PM,47.5791,-122.312035
3700 S Hudson St,Auto Fire Alarm,2025 Oct 28 03:34:00 PM,47.557045,-122.28614
700 Seneca St,Rubbish Fire,2025 Oct 28 03:02:00 PM,47.609015,-122.330631
500 Belmont Ave E,Auto Fire Alarm,2025 Oct 28 02:45:00 PM,47.623141,-122.324031
12317 15th Ave Ne,Auto Fire Alarm,2025 Oct 28 02:35:00 PM,47.717748,-122.312622
15th Ave / E Denny Way,Illegal Burn,2025 Oct 28 02:06:00 PM,47.61852,-122.312742
Rainier Ave S / S Henderson St,Illegal Burn,2025 Oct 28 02:00:00 PM,47.523307,-122.269986
155 21st Ave,Fire in Building,2025 Oct 28 12:17:00 PM,47.602742,-122.305039
7540 37th Ave Ne,Auto Fire Alarm,2025 Oct 28 10:46:00 AM,47.683402,-122.288379
8612 Palatine Ave N,Auto Fire Alarm,2025 Oct 28 09:45:00 AM,47.691892,-122.356655
S Rose St / Wabash Ave S,Rubbish Fire,2025 Oct 28 09:40:00 AM,47.529137,-122.269462
1st Ave N / Valley St,Illegal Burn,2025 Oct 28 09:13:00 AM,47.626251,-122.355386
1900 5th Ave,Auto Fire Alarm,2025 Oct 28 09:11:00 AM,47.612958,-122.337873
1652 Sw Lander St,Illegal Burn,2025 Oct 28 08:13:00 AM,47.58022,-122.356001
906 Alaskan Way,Auto Fire Alarm,2025 Oct 28 07:56:00 AM,47.603235,-122.337516
111 S Lander St,Auto Fire Alarm,2025 Oct 28 07:45:00 AM,47.579813,-122.333984
1110 E Howell St,Rubbish Fire,2025 Oct 28 07:33:00 AM,47.617592,-122.318064
2707 Rainier Ave S,Rubbish Fire,2025 Oct 28 07:26:00 AM,47.579152,-122.298763
171 12th Ave,Auto Fire Alarm,2025 Oct 28 06:36:00 AM,47.603031,-122.316782
10014 Stone Ave N,Illegal Burn,2025 Oct 28 05:46:00 AM,47.701502,-122.341958
15th Ave Nw / Nw Leary Way,Illegal Burn,2025 Oct 28 05:43:00 AM,47.663664,-122.376123
1401 Broadway,Rubbish Fire,2025 Oct 28 03:24:00 AM,47.612963,-122.320762
1301 4th Ave,Auto Fire Alarm,2025 Oct 28 03:15:00 AM,47.608228,-122.334866
1024 6th Ave S,Auto Fire Alarm,2025 Oct 28 02:43:00 AM,47.593877,-122.325968
601 S Washington St,Illegal Burn,2025 Oct 28 02:22:00 AM,47.600871,-122.326327
Ne 45th St / Montlake Blvd Ne,Illegal Burn,2025 Oct 28 02:02:00 AM,47.661088,-122.298342
1900 25th Ave S,Illegal Burn,2025 Oct 28 01:28:00 AM,47.586314,-122.300315
3021 SW BRADFORD ST,Auto Fire Alarm,2025 Oct 28 01:02:00 AM,47.569237,-122.371429
4115 Sw Hudson St,Rubbish Fire,2025 Oct 28 12:53:00 AM,47.557483,-122.384715
2510 6th Ave,Fire in Building,2025 Oct 28 12:35:00 AM,47.618065,-122.344524
698 Seneca St,Rubbish Fire,2025 Oct 28 12:17:00 AM,47.609015,-122.330631
12th Ave S / S Jackson St,Illegal Burn,2025 Oct 27 11:38:00 PM,47.599187,-122.317225
5983 Rainier Ave S,Auto Fire Alarm,2025 Oct 27 11:04:00 PM,47.548628,-122.276937
600 9th Ave,Illegal Burn,2025 Oct 27 08:51:00 PM,47.605555,-122.324749
909 9th Ave,Illegal Burn,2025 Oct 27 07:05:00 PM,47.607753,-122.326761
Aurora Ave N / N 107th St,Rubbish Fire,2025 Oct 27 05:46:00 PM,47.706546,-122.344719
1311 S Massachusetts St,Auto Fire Alarm,2025 Oct 27 05:39:00 PM,47.588437,-122.315855
9200 2nd Ave Sw,Auto Fire Alarm,2025 Oct 27 04:01:00 PM,47.521244,-122.336301
4801 24th Ave Ne,Auto Fire Alarm,2025 Oct 27 03:38:00 PM,47.66378,-122.301734
1100 NE 47TH ST,Auto Fire Alarm,2025 Oct 27 01:55:00 PM,47.663112,-122.316359
301 Queen Anne Ave N,Auto Fire Alarm,2025 Oct 27 01:41:00 PM,47.620941,-122.356739
5019 Roosevelt Way Ne,Auto Fire Alarm,2025 Oct 27 12:51:00 PM,47.665073,-122.317402
5955 Airport Way S,Auto Fire Alarm,2025 Oct 27 12:44:00 PM,47.549524,-122.317175
1000 8th Ave,Auto Fire Alarm,2025 Oct 27 11:43:00 AM,47.607945,-122.328471
2025 E Calhoun St,Auto Fire Alarm,2025 Oct 27 11:05:00 AM,47.641001,-122.305304
5825 16th Ave Ne,Auto Fire Alarm,2025 Oct 27 10:02:00 AM,47.671744,-122.310769
39th Ave Sw / Sw Orchard St,Illegal Burn,2025 Oct 27 09:07:00 AM,47.538292,-122.381934
1200 N Northgate Way,Auto Fire Alarm,2025 Oct 27 08:21:00 AM,47.705049,-122.343329
2400 4th Ave,Auto Fire Alarm,2025 Oct 27 07:35:00 AM,47.616138,-122.345235
14115 Aurora Ave N,Auto Fire Alarm,2025 Oct 27 06:37:00 AM,47.731129,-122.345064
Alaskan Way S / S Dearborn St,Illegal Burn,2025 Oct 27 06:24:00 AM,47.596476,-122.335555
55 Bell St,Rubbish Fire,2025 Oct 27 03:38:00 AM,47.612137,-122.348115
4700 Brooklyn Ave Ne,Rubbish Fire,2025 Oct 27 03:20:00 AM,47.6631,-122.314238
551 Elliott Ave W,Auto Fire Alarm,2025 Oct 27 01:13:00 AM,47.624155,-122.365135
1500 Harvard Ave,Auto Fire Alarm,2025 Oct 26 11:43:00 PM,47.614066,-122.322111
1429 12th Ave,Auto Fire Alarm,2025 Oct 26 11:33:00 PM,47.613236,-122.316762
3815 ASHWORTH AVE N,FIREWATCH,2025 Oct 26 11:33:00 PM,47.652893,-122.340208
501 E Pike St,Auto Fire Alarm,2025 Oct 26 11:29:00 PM,47.614089,-122.325503
Wallingford Ave N / N 45th St,Rubbish Fire,2025 Oct 26 11:00:00 PM,47.661386,-122.336294
3815 ASHWORTH AVE N,Fire in Building,2025 Oct 26 09:44:00 PM,47.652893,-122.340208
721 Pine St,Auto Fire Alarm,2025 Oct 26 09:09:00 PM,47.612701,-122.334021
9201 Rainier Ave S,Auto Fire Alarm,2025 Oct 26 08:48:00 PM,47.52101,-122.269997
4th Ave S / S Jackson St,Illegal Burn,2025 Oct 26 07:50:00 PM,47.599197,-122.328968
143 Nw 85th St,Auto Fire Alarm,2025 Oct 26 07:47:00 PM,47.690613,-122.358548
509 N 138th St,Illegal Burn,2025 Oct 26 07:39:00 PM,47.72959,-122.352915
840 E Denny Way,Illegal Burn,2025 Oct 26 07:21:00 PM,47.618736,-122.321643
509 N 138th St,Illegal Burn,2025 Oct 26 07:21:00 PM,47.72959,-122.352915
1250 1ST AVE S,Auto Fire Alarm,2025 Oct 26 06:47:00 PM,47.592049,-122.334195
225 S Lucile St,Auto Fire Alarm,2025 Oct 26 06:30:00 PM,47.553413,-122.332014
16th Ave S / S Jackson St,Rubbish Fire,2025 Oct 26 05:00:00 PM,47.599225,-122.311577
1820 Minor Ave,Auto Fire Alarm,2025 Oct 26 03:57:00 PM,47.616989,-122.330811
551 Elliott Ave W,Auto Fire Alarm,2025 Oct 26 03:49:00 PM,47.624155,-122.365135
1000 8th Ave,Auto Fire Alarm,2025 Oct 26 03:30:00 PM,47.607945,-122.328471
1808 Bellevue Ave,Auto Fire Alarm,2025 Oct 26 02:23:00 PM,47.617794,-122.326764
8011 Fauntleroy Way Sw,Illegal Burn,2025 Oct 26 01:40:00 PM,47.531494,-122.392698
1533 Western Ave,Auto Fire Alarm,2025 Oct 26 01:37:00 PM,47.608682,-122.341421
13030 Linden Ave N,Auto Fire Alarm,2025 Oct 26 12:45:00 PM,47.723429,-122.348165
1704 Ne Columbia Rd,Auto Fire Alarm,2025 Oct 26 12:20:00 PM,47.650205,-122.310398
3621 33rd Ave S,Auto Fire Alarm,2025 Oct 26 12:08:00 PM,47.571408,-122.291001
515 Madison St,Rubbish Fire,2025 Oct 26 11:00:00 AM,47.606624,-122.331628
110 10th Ave S,Auto Fire Alarm,2025 Oct 26 10:49:00 AM,47.601612,-122.319581
Denny Way / Stewart St,Rubbish Fire,2025 Oct 26 08:03:00 AM,47.618492,-122.330723
1010 E Republican St,Auto Fire Alarm,2025 Oct 26 07:57:00 AM,47.623124,-122.319688
12th Ave S / S Jackson St,Illegal Burn,2025 Oct 26 07:41:00 AM,47.599187,-122.317225
26TH AVE S / S MCCLELLAN ST,Rubbish Fire,2025 Oct 26 06:50:00 AM,47.57835,-122.299274
4318 8th Ave Ne,Rubbish Fire,2025 Oct 26 05:39:00 AM,47.659619,-122.319781
1911 22nd Ave S,Auto Fire Alarm,2025 Oct 26 04:32:00 AM,47.586234,-122.304237
3624 Phinney Ave N,Auto Fire Alarm,2025 Oct 26 02:19:00 AM,47.652394,-122.354474
1111 E Pine St,Auto Fire Alarm,2025 Oct 26 01:29:00 AM,47.615255,-122.318013
1500 Harvard Ave,Auto Fire Alarm,2025 Oct 26 01:28:00 AM,47.614066,-122.322111
3642 33rd Ave S,Auto Fire Alarm,2025 Oct 26 01:24:00 AM,47.571233,-122.291003
1017 E Union St,Auto Fire Alarm,2025 Oct 26 12:24:00 AM,47.612938,-122.319207
4215 Brooklyn Ave Ne,Auto Fire Alarm,2025 Oct 25 11:55:00 PM,47.65854,-122.314357
100 Melrose Ave E,Auto Fire Alarm,2025 Oct 25 11:19:00 PM,47.618497,-122.327854
2510 Western Ave,Auto Fire Alarm,2025 Oct 25 11:02:00 PM,47.614082,-122.349692
3300 NE 125TH ST,Auto Fire Alarm,2025 Oct 25 10:43:00 PM,47.719265,-122.29273
3450 E Alder St,Brush Fire,2025 Oct 25 10:19:00 PM,47.604381,-122.288338
3624 Phinney Ave N,Auto Fire Alarm,2025 Oct 25 10:04:00 PM,47.652394,-122.354474
501 E Pike St,Auto Fire Alarm,2025 Oct 25 09:46:00 PM,47.614089,-122.325503
2629 Sw Andover St,Auto Fire Alarm,2025 Oct 25 09:38:00 PM,47.568343,-122.365804
1111 E Pine St,Auto Fire Alarm,2025 Oct 25 09:32:00 PM,47.615255,-122.318013
2001 W Garfield St,Auto Fire Alarm,2025 Oct 25 09:04:00 PM,47.633267,-122.378953
7th Ave S / S Lane St,Illegal Burn,2025 Oct 25 09:03:00 PM,47.596672,-122.32376
1815 12th Ave,Auto Fire Alarm,2025 Oct 25 08:45:00 PM,47.617768,-122.316894
Delridge Way Sw / Sw Andover St,Illegal Burn,2025 Oct 25 08:10:00 PM,47.568347,-122.363283
1050 W Nickerson St,Rubbish Fire,2025 Oct 25 07:23:00 PM,47.654264,-122.370762
1215 N 45th St,Auto Fire Alarm,2025 Oct 25 06:07:00 PM,47.661385,-122.343048
4th Ave / Madison St,Rubbish Fire,2025 Oct 25 05:11:00 PM,47.606088,-122.332909
1105 E Fir St,Fire in Building,2025 Oct 25 04:49:00 PM,47.602688,-122.318034
275 W Roy St,Auto Fire Alarm,2025 Oct 25 04:12:00 PM,47.625728,-122.360331
501 Rainier Ave S,Auto Fire Alarm,2025 Oct 25 03:37:00 PM,47.598322,-122.3134
9001 Lake City Way Ne,Auto Fire Alarm,2025 Oct 25 03:34:00 PM,47.693931,-122.30552
4524 19th Ave Ne,Auto Fire Alarm,2025 Oct 25 03:16:00 PM,47.661466,-122.307242
1959 Ne Pacific St,Auto Fire Alarm,2025 Oct 25 02:21:00 PM,47.650694,-122.307916
4524 19th Ave Ne,Auto Fire Alarm,2025 Oct 25 02:15:00 PM,47.661466,-122.307242
525 14th Ave E,Auto Fire Alarm,2025 Oct 25 01:51:00 PM,47.623391,-122.314649
8700 Aurora Ave N,Auto Fire Alarm,2025 Oct 25 01:36:00 PM,47.692012,-122.344539
3027 17th Ave W,Auto Fire Alarm,2025 Oct 25 11:21:00 AM,47.647624,-122.378843
1001 E JOHN ST,Illegal Burn,2025 Oct 25 11:18:00 AM,47.619917,-122.319526
5801 Beacon Ave S,Auto Fire Alarm,2025 Oct 25 11:17:00 AM,47.551032,-122.302057
6955 Delridge Way Sw,Auto Fire Alarm,2025 Oct 25 10:21:00 AM,47.540392,-122.360774
3310 Ne 125th St,Auto Fire Alarm,2025 Oct 25 10:17:00 AM,47.719264,-122.292632
551 Elliott Ave W,Auto Fire Alarm,2025 Oct 25 09:46:00 AM,47.624155,-122.365135
13739 Linden Ave N,Auto Fire Alarm,2025 Oct 25 08:52:00 AM,47.728787,-122.347737
509 3rd Ave,Auto Fire Alarm,2025 Oct 25 08:14:00 AM,47.602114,-122.330809
167 11th Ave,Auto Fire Alarm,2025 Oct 25 06:39:00 AM,47.603246,-122.318102
13023 Greenwood Ave N,Auto Fire Alarm,2025 Oct 25 04:51:00 AM,47.723436,-122.355547
1315 Ne Campus Pkwy,Auto Fire Alarm,2025 Oct 25 04:33:00 AM,47.655998,-122.31426
1414 12th Ave,Rubbish Fire,2025 Oct 25 04:30:00 AM,47.61305,-122.316747
1602 15th Ave W,Illegal Burn,2025 Oct 25 03:48:00 AM,47.633506,-122.376194
11050 8th Ave Ne,Auto Fire Alarm,2025 Oct 25 12:17:00 AM,47.708936,-122.320569
954 E Union St,Auto Fire Alarm,2025 Oct 24 11:54:00 PM,47.612943,-122.319822
200 2nd Ave W,Auto Fire Alarm,2025 Oct 24 10:42:00 PM,47.619785,-122.359358
11035 8th Ave Ne,Bark Fire,2025 Oct 24 10:29:00 PM,47.708826,-122.320567
600 E HOWELL ST,Auto Fire Alarm,2025 Oct 24 09:58:00 PM,47.617746,-122.324505
713 8th Ave S,Illegal Burn,2025 Oct 24 09:56:00 PM,47.596559,-122.322456
852 RAINIER AVE S,Rubbish Fire,2025 Oct 24 08:46:00 PM,47.594244,-122.310281
S Charles St / Rainier Ave S,Rubbish Fire,2025 Oct 24 08:32:00 PM,47.594072,-122.31015
3005 RAINIER AVE S,Illegal Burn,2025 Oct 24 07:50:00 PM,47.576698,-122.296889
37th Pl Nw / Seaview Ave Nw,Illegal Burn,2025 Oct 24 06:45:00 PM,47.670435,-122.404087
2104 Ne 45th St,Auto Fire Alarm,2025 Oct 24 06:04:00 PM,47.661303,-122.305045
9600 College Way N,Auto Fire Alarm,2025 Oct 24 05:52:00 PM,47.698678,-122.33505
2901 27th Ave S,Brush Fire,2025 Oct 24 05:31:00 PM,47.577518,-122.298263
8502 AURORA AVE N,Dumpster Fire,2025 Oct 24 05:14:00 PM,47.69057,-122.344522
1400 6th Ave,Auto Fire Alarm,2025 Oct 24 04:28:00 PM,47.61015,-122.333556
11717 Lake City Way Ne,Illegal Burn,2025 Oct 24 04:27:00 PM,47.714287,-122.298185
2576 Aurora Ave N,Auto Fire Alarm,2025 Oct 24 03:41:00 PM,47.642467,-122.346891
164 2nd Ave N,Auto Fire Alarm,2025 Oct 24 03:10:00 PM,47.619342,-122.352833
3820 Rainier Ave S,Rubbish Fire,2025 Oct 24 03:04:00 PM,47.569608,-122.290486
1350 N 34th St,Fire in Building,2025 Oct 24 02:57:00 PM,47.648468,-122.342302
1911 22nd Ave S,Auto Fire Alarm,2025 Oct 24 02:39:00 PM,47.586234,-122.304237
600 N 130th St,Auto Fire Alarm,2025 Oct 24 02:38:00 PM,47.723223,-122.351624
1504 Aurora Ave N,Auto Fire Alarm,2025 Oct 24 01:24:00 PM,47.632345,-122.343398
523 Broadway E,Auto Fire Alarm,2025 Oct 24 11:43:00 AM,47.623385,-122.320928
2312 3rd Ave,Fire in Building,2025 Oct 24 10:22:00 AM,47.614791,-122.34494
1502 E Yesler Way,Auto Fire Alarm,2025 Oct 24 10:18:00 AM,47.601686,-122.31285
1701 Broadway,Auto Fire Alarm,2025 Oct 24 09:54:00 AM,47.616403,-122.320817
171 12th Ave,Fire in Building,2025 Oct 24 09:12:00 AM,47.603031,-122.316782
1735 Dexter Ave N,Auto Fire Alarm,2025 Oct 24 09:11:00 AM,47.634319,-122.342285
4484 Martin Luther King Jr Way S,Auto Fire Alarm,2025 Oct 24 07:41:00 AM,47.563035,-122.294639
7816 AURORA AVE N,Dumpster Fire,2025 Oct 24 05:30:00 AM,47.685609,-122.344497
Alaskan Way / Broad St,Brush Fire,2025 Oct 24 05:15:00 AM,47.615034,-122.354876
210 Yesler Way,Illegal Burn,2025 Oct 24 04:31:00 AM,47.601719,-122.331809
625 1st Ave,Auto Fire Alarm,2025 Oct 24 04:06:00 AM,47.601932,-122.334178
4th Ave N / Westlake Ave N,Illegal Burn,2025 Oct 24 04:05:00 AM,47.646147,-122.349741
4700 12th Ave Ne,Auto Fire Alarm,2025 Oct 24 03:59:00 AM,47.663106,-122.315263
1st Ave / Yesler Way,Dumpster Fire,2025 Oct 24 03:55:00 AM,47.601722,-122.334179
1ST AVE / COLUMBIA ST,Rubbish Fire,2025 Oct 24 03:54:00 AM,47.603269,-122.334935
