"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Black or African American","Male","Parks and Recreation Department","39","42.22","R","Active"
"Black or African American","Male","Seattle Fire Department","35","62.54","R","Active"
"White","Female","Finance and Administrative Service","58","73.80","R","Active"
"White","Male","Seattle Public Utilities","37","48.87","R","Active"
"Two or More Races","Male","Seattle Fire Department","44","59.18","R","Active"
"White","Male","Information Technology","66","89.14","R","Active"
"Black or African American","Female","Seattle City Light","55","81.93","R","Active"
"White","Male","Seattle Fire Department","43","54.03","R","Active"
"White","Male","Seattle Public Utilities","33","58.53","R","Active"
"Two or More Races","Female","Seattle Public Library","42","73.11","R","Active"
"White","Female","Seattle City Light","64","43.09","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","49","71.27","R","Active"
"White","Male","Seattle Department of Transportation","58","50.74","R","Active"
"Asian","Male","Housing Office","36","55.79","R","Active"
"White","Male","Seattle Police Department","54","77.57","R","Active"
"Asian","Female","Seattle Department of Transportation","63","47.18","R","Active"
"White","Female","Seattle Police Department","30","76.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","43","62.27","R","Active"
"Black or African American","Male","Seattle Fire Department","37","51.46","R","Active"
"Asian","Female","Seattle Department of Transportation","54","41.31","R","Active"
"Asian","Male","Seattle Police Department","39","76.46","R","Active"
"Asian","Female","Education and Early Learning","53","76.47","R","Active"
"White","Male","Seattle Department of Transportation","47","73.66","R","Active"
"Black or African American","Male","Seattle Public Utilities","60","51.16","R","Active"
"Black or African American","Male","Seattle City Light","70","169.57","R","Active"
"White","Male","Law Department","40","78.26","R","Active"
"White","Male","Information Technology","74","75.30","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Fire Department","33","59.18","R","Active"
"White","Male","Seattle City Light","64","72.34","R","Active"
"White","Female","Finance and Administrative Service","47","71.48","R","Active"
"White","Female","Seattle Department of Transportation","57","74.86","R","Active"
"Black or African American","Female","Human Services","57","110.35","R","Active"
"White","Female","Seattle Fire Department","54","75.04","R","Active"
"Black or African American","Female","Seattle City Light","53","170.28","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","63","87.02","R","Active"
"White","Male","Seattle Fire Department","49","68.05","R","Active"
"Black or African American","Female","Civil Rights Office","58","77.82","R","Active"
"White","Female","Parks and Recreation Department","30","34.08","T","Active"
"Asian","Female","Seattle Public Utilities","46","43.09","R","Active"
"White","Male","Seattle Department of Transportation","61","63.19","R","Active"
"White","Female","Seattle City Light","55","41.31","R","Active"
"White","Male","Seattle City Light","45","57.31","R","Active"
"White","Female","Seattle Center","58","45.05","T","Active"
"White","Male","Seattle Center","32","55.19","R","Active"
"White","Male","Seattle Police Department","46","76.46","R","Active"
"Black or African American","Female","Seattle Public Utilities","30","43.21","R","Leave with Pay"
"Not Specified","Male","Seattle Department of Transportation","35","73.66","R","Leave with Pay"
"White","Male","Seattle Public Utilities","60","48.38","R","Active"
"White","Male","Seattle Police Department","75","76.82","R","Active"
"White","Male","Seattle Center","57","45.05","T","Active"
"Not Specified","Male","Construction and Inspections","41","87.31","R","Active"
"White","Female","Seattle Police Department","67","48.31","R","Active"
"White","Male","Seattle Public Utilities","48","88.34","R","Active"
"Asian","Male","Parks and Recreation Department","21","33.98","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","51","35.00","T","Active"
"Two or More Races","Male","Seattle Department of Transportation","48","37.06","R","Active"
"White","Female","Seattle City Light","45","47.57","R","Active"
"Asian","Male","Seattle City Light","36","54.93","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","19","26.92","T","Active"
"Asian","Female","Seattle Public Library","40","47.24","R","Active"
"White","Male","Seattle City Light","39","48.25","R","Active"
"Asian","Female","Seattle Center","41","26.92","T","Active"
"Asian","Male","Seattle Public Library","23","32.61","R","Active"
"White","Male","Seattle Public Library","47","32.61","R","Active"
"White","Male","Seattle Public Library","57","66.81","R","Active"
"White","Male","Parks and Recreation Department","37","46.42","R","Leave with Pay"
"White","Male","Seattle Police Department","57","40.46","R","Active"
"White","Male","Parks and Recreation Department","35","26.92","T","Active"
"White","Male","Legislative Department","59","79.53","R","Active"
"White","Male","Seattle Fire Department","52","68.05","R","Active"
"Black or African American","Male","Seattle Public Utilities","44","33.98","R","Active"
"White","Female","Seattle Center","60","26.92","T","Active"
"White","Male","Seattle City Light","62","54.13","R","Active"
"White","Female","Parks and Recreation Department","20","33.47","T","Active"
"Asian","Male","Seattle Municipal Courts","63","88.74","R","Active"
"White","Male","Seattle Municipal Courts","41","42.25","R","Active"
"Two or More Races","Male","Seattle City Light","33","40.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","64","51.12","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","33","53.43","R","Active"
"Asian","Female","Finance and Administrative Service","38","55.36","R","Active"
"Not Specified","Male","Seattle City Light","42","40.46","R","Active"
"White","Female","Parks and Recreation Department","63","37.06","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Center","27","30.30","R","Active"
"Black or African American","Female","Seattle Center","48","26.92","T","Active"
"White","Male","Parks and Recreation Department","48","42.50","R","Active"
"White","Male","Parks and Recreation Department","21","26.92","T","Active"
"Black or African American","Male","Parks and Recreation Department","37","39.68","R","Active"
"White","Male","Seattle Fire Department","46","63.45","R","Active"
"American Indian or Alaska Native","Male","Parks and Recreation Department","35","33.98","R","Active"
"White","Male","Finance and Administrative Service","59","55.56","R","Active"
"White","Female","Parks and Recreation Department","18","26.92","T","Active"
"Black or African American","Male","Seattle Center","36","31.97","T","Active"
"White","Male","Seattle Center","53","45.05","T","Active"
"White","Male","Seattle City Light","27","51.12","R","Active"
"White","Female","Seattle City Light","65","32.15","R","Active"
"Asian","Female","Law Department","27","50.15","R","Active"
"Asian","Female","Seattle Department of Transportation","39","74.86","R","Active"
"Asian","Female","Seattle Department of Transportation","24","53.15","R","Active"
"White","Male","Seattle City Light","21","22.56","T","Active"
"White","Female","Finance and Administrative Service","63","75.27","R","Active"
"Black or African American","Male","Parks and Recreation Department","32","22.84","T","Active"
"White","Female","Seattle Public Library","71","38.91","R","Active"
"Black or African American","Male","Seattle City Light","62","77.36","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","35","48.31","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","38","54.03","R","Active"
"White","Male","Seattle City Light","47","77.36","R","Active"
"Black or African American","Female","Parks and Recreation Department","29","26.92","T","Active"
"White","Female","Seattle Police Department","38","46.91","R","Active"
"White","Male","Neighborhoods","51","93.41","R","Active"
"Black or African American","Male","Parks and Recreation Department","56","40.29","R","Active"
"White","Female","Finance and Administrative Service","54","51.24","R","Active"
"White","Male","Information Technology","53","77.39","R","Active"
"White","Male","Seattle Police Department","37","76.46","R","Active"
"Asian","Female","Seattle Public Library","37","47.24","R","Leave with Pay"
"White","Female","Human Services","60","65.54","R","Active"
"White","Male","Seattle Center","49","45.05","T","Active"
"Asian","Female","Parks and Recreation Department","27","45.64","R","Active"
"Asian","Female","Seattle Public Utilities","57","74.86","R","Leave with Pay"
"White","Female","Seattle Police Department","35","76.46","R","Active"
"White","Male","Parks and Recreation Department","63","37.95","R","Active"
"White","Male","Seattle Fire Department","52","55.06","R","Active"
"White","Male","Seattle Public Utilities","28","58.51","T","Active"
"Black or African American","Male","Seattle Department of Transportation","42","37.95","R","Active"
"White","Male","Seattle Public Utilities","58","74.86","R","Active"
"Asian","Male","Seattle Department of Transportation","33","77.83","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","29","37.95","R","Active"
"Asian","Female","Seattle City Light","48","72.73","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","27","44.08","R","Active"
"White","Male","Information Technology","52","79.06","R","Active"
"White","Male","Construction and Inspections","49","65.54","R","Active"
"White","Male","Seattle City Light","54","92.07","R","Active"
"Asian","Male","Seattle Police Department","60","90.95","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","27","37.95","T","Active"
"White","Female","Seattle Police Department","58","87.98","R","Active"
"White","Male","Seattle Public Utilities","69","48.87","R","Active"
"Asian","Female","Seattle Public Library","62","36.27","R","Leave with Pay"
"White","Male","Seattle Public Utilities","46","48.33","R","Leave with Pay"
"Asian","Female","Seattle City Light","39","84.88","R","Leave with Pay"
"Black or African American","Female","Seattle Police Department","51","74.96","R","Active"
"Asian","Male","Seattle Department of Transportation","43","71.86","R","Active"
"Not Specified","Male","Seattle Police Department","36","78.30","R","Active"
"White","Male","Seattle Department of Transportation","42","75.91","R","Leave with Pay"
"White","Female","Seattle Police Department","45","70.21","R","Active"
"Asian","Female","Parks and Recreation Department","64","70.35","R","Active"
"American Indian or Alaska Native","Male","Seattle Department of Transportation","64","41.92","R","Leave with Pay"
"Black or African American","Male","Parks and Recreation Department","67","37.95","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","36","37.95","R","Active"
"Black or African American","Male","Parks and Recreation Department","44","54.50","R","Active"
"White","Male","Seattle Police Department","41","76.46","R","Active"
"White","Male","Seattle Police Department","42","87.98","R","Active"
"Black or African American","Female","Office of Economic Development and Special Events Office","33","65.54","R","Leave with Pay"
"White","Male","Seattle Fire Department","57","57.64","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","50","59.18","R","Active"
"White","Male","Seattle Public Library","46","60.27","R","Active"
"White","Male","Seattle Fire Department","31","54.03","R","Active"
"Black or African American","Male","Office of Arts and Culture","46","55.19","R","Active"
"Black or African American","Male","Seattle Public Library","40","45.93","R","Active"
"Asian","Male","Construction and Inspections","60","64.30","R","Active"
"White","Male","Parks and Recreation Department","51","34.08","T","Active"
"Black or African American","Female","Human Services","37","50.42","R","Active"
"White","Male","Seattle Fire Department","31","51.46","R","Active"
"Two or More Races","Female","Seattle Public Utilities","54","72.73","R","Active"
"White","Male","Parks and Recreation Department","65","46.05","R","Active"
"White","Male","Community Safety and Communication Center","42","67.58","R","Active"
"White","Female","Seattle Center","48","67.94","R","Active"
"Asian","Male","Seattle Police Department","60","127.69","R","Active"
"White","Male","Seattle Police Department","58","79.05","R","Active"
"White","Female","Sustainability and Environment","30","47.39","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","27","39.65","R","Leave with Pay"
"White","Male","Seattle Fire Department","47","56.73","R","Active"
"Black or African American","Female","Seattle Police Department","60","37.18","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Public Library","28","51.99","R","Active"
"White","Male","Seattle Fire Department","38","51.46","R","Active"
"White","Male","Seattle Fire Department","43","68.05","R","Active"
"White","Male","Seattle Fire Department","42","57.64","R","Active"
"White","Female","Community Safety and Communication Center","59","46.21","R","Active"
"White","Female","Seattle Police Department","62","55.61","R","Active"
"White","Male","Parks and Recreation Department","58","37.95","R","Active"
"White","Male","Seattle Department of Transportation","60","73.66","R","Active"
"White","Male","Finance and Administrative Service","60","64.99","R","Active"
"White","Male","Parks and Recreation Department","56","37.95","R","Active"
"White","Male","Information Technology","54","77.63","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","27","48.31","R","Active"
"White","Male","Seattle Police Department","40","76.46","R","Active"
"Asian","Male","Seattle Department of Transportation","50","94.12","R","Active"
"Asian","Male","Seattle Public Utilities","32","44.92","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Municipal Courts","51","70.75","R","Active"
"White","Male","Seattle Police Department","49","84.88","R","Active"
"Asian","Male","Seattle City Light","38","76.38","R","Active"
"White","Male","Seattle Police Department","47","76.46","R","Active"
"Asian","Female","Information Technology","31","71.18","R","Active"
"White","Male","Seattle Public Utilities","41","84.84","R","Active"
"White","Male","Housing Office","57","55.79","R","Active"
"Two or More Races","Male","Seattle City Light","47","92.84","R","Active"
"White","Male","Seattle Department of Transportation","35","65.77","R","Leave with Pay"
"White","Female","Construction and Inspections","59","44.51","R","Active"
"White","Female","Seattle Municipal Courts","58","39.18","R","Active"
"Black or African American","Female","Parks and Recreation Department","58","37.95","R","Active"
"White","Female","Seattle Department of Transportation","31","67.84","R","Active"
"White","Female","Finance and Administrative Service","40","92.84","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","55","67.58","R","Active"
"Asian","Male","Seattle Public Library","44","35.72","R","Active"
"White","Male","Seattle Department of Transportation","69","37.95","R","Active"
"White","Male","Seattle Public Utilities","29","46.04","R","Active"
"White","Male","Parks and Recreation Department","36","69.41","R","Active"
"Black or African American","Female","Human Services","42","50.42","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","45","83.50","R","Active"
"White","Female","Construction and Inspections","40","78.76","R","Active"
"Asian","Female","Office of Arts and Culture","43","65.54","R","Active"
"Asian","Male","Seattle Public Utilities","32","87.31","R","Active"
"White","Female","Parks and Recreation Department","63","71.75","R","Active"
"White","Male","Seattle City Light","59","87.02","R","Active"
"White","Male","Seattle Public Library","59","54.46","R","Active"
"American Indian or Alaska Native","Female","Seattle Department of Transportation","64","69.00","R","Active"
"White","Female","Seattle Department of Transportation","54","153.70","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Law Department","33","39.18","R","Active"
"Black or African American","Male","Parks and Recreation Department","44","42.77","R","Active"
"Asian","Female","Seattle Public Library","61","47.24","R","Active"
"White","Male","Seattle Fire Department","42","55.06","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","32","41.85","R","Active"
"Asian","Male","Seattle Department of Transportation","40","57.36","R","Active"
"White","Female","Human Services","41","44.21","R","Active"
"White","Male","Seattle Fire Department","68","78.80","R","Active"
"White","Male","Law Department","58","91.41","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","58","87.31","R","Active"
"Asian","Male","Seattle Department of Transportation","53","79.21","R","Active"
"Black or African American","Male","Education and Early Learning","37","65.35","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","54","50.74","R","Active"
"White","Male","Seattle Fire Department","29","51.46","R","Active"
"Hispanic or Latino/a/x","Female","Employees Retirement System","60","74.48","R","Active"
"Two or More Races","Female","Seattle Public Utilities","36","67.75","R","Active"
"Black or African American","Female","Construction and Inspections","60","55.96","R","Active"
"Asian","Female","Seattle Public Utilities","59","94.12","R","Active"
"White","Male","Seattle Fire Department","57","73.29","R","Active"
"Asian","Male","Seattle City Light","54","98.25","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Department of Transportation","59","41.92","R","Leave Of Absence"
"Asian","Female","Seattle City Light","47","55.96","R","Active"
"White","Female","Human Services","62","50.33","R","Leave with Pay"
"White","Female","Law Department","50","68.03","R","Active"
"American Indian or Alaska Native","Male","Seattle Police Department","46","82.30","R","Active"
"Two or More Races","Male","Parks and Recreation Department","41","48.31","R","Active"
"Asian","Female","Seattle Department of Transportation","30","67.35","R","Active"
"White","Male","Seattle Center","56","48.27","R","Active"
"White","Male","Seattle Police Department","44","76.46","R","Active"
"Asian","Female","Education and Early Learning","55","48.31","R","Active"
"White","Male","Information Technology","39","82.28","R","Active"
"Black or African American","Female","Seattle City Light","66","40.37","R","Active"
"White","Male","Seattle Police Department","46","78.30","R","Active"
"White","Female","Seattle Department of Transportation","46","56.23","R","Leave with Pay"
"Black or African American","Male","Parks and Recreation Department","52","34.30","R","Active"
"Asian","Male","Seattle Department of Transportation","25","60.07","R","Active"
"Asian","Male","Seattle Police Department","61","37.18","R","Active"
"White","Male","Seattle City Light","36","77.36","R","Active"
"Black or African American","Male","Parks and Recreation Department","42","56.77","R","Active"
"Not Specified","Female","Seattle Police Department","32","43.69","R","Active"
"Asian","Female","Seattle Police Department","46","47.07","R","Active"
"White","Male","Seattle City Light","60","66.52","R","Active"
"Asian","Male","Office of Arts and Culture","62","55.96","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","50","45.29","R","Active"
"White","Male","Housing Office","32","55.19","R","Active"
"White","Male","Seattle Fire Department","59","60.98","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","37","41.75","R","Active"
"Asian","Female","Information Technology","32","76.01","R","Active"
"Hispanic or Latino/a/x","Female","Human Services","35","50.42","R","Active"
"Asian","Male","Seattle Police Department","41","99.18","R","Active"
"Not Specified","Male","Parks and Recreation Department","45","38.84","R","Active"
"White","Male","Seattle City Light","34","48.31","R","Active"
"Black or African American","Female","Parks and Recreation Department","57","55.19","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","64","66.83","R","Active"
"White","Female","Seattle Public Utilities","30","60.59","R","Active"
"Two or More Races","Female","Seattle Police Department","44","41.31","R","Leave with Pay"
"Asian","Female","Information Technology","55","53.14","R","Active"
"Asian","Male","Seattle City Light","41","72.34","T","Active"
"White","Male","Seattle Police Department","63","76.46","R","Active"
"White","Female","Human Services","44","48.58","R","Leave with Pay"
"White","Male","Seattle Fire Department","61","60.36","R","Active"
"Asian","Male","Seattle Public Utilities","57","61.23","R","Active"
"White","Male","Seattle City Light","55","87.02","R","Active"
"White","Male","Seattle Police Department","46","76.46","R","Active"
"White","Male","Seattle Police Department","35","76.46","R","Active"
"White","Male","Parks and Recreation Department","37","50.33","R","Active"
"White","Male","Information Technology","60","81.47","R","Active"
"Asian","Male","Seattle Fire Department","39","51.46","R","Active"
"Black or African American","Female","Parks and Recreation Department","22","26.92","T","Active"
"White","Male","Seattle Department of Transportation","45","69.98","R","Active"
"White","Female","Finance and Administrative Service","36","65.54","R","Active"
"White","Female","Parks and Recreation Department","52","49.25","R","Active"
"White","Male","Seattle Fire Department","33","51.46","R","Active"
"White","Male","Seattle Fire Department","36","51.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","31","60.07","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Police Department","66","76.46","R","Active"
"White","Female","Seattle Police Department","46","76.82","R","Active"
"White","Male","Seattle Department of Transportation","66","72.12","R","Active"
"Two or More Races","Male","Seattle Police Department","53","37.95","R","Active"
"Black or African American","Male","Finance and Administrative Service","50","58.51","R","Active"
"Asian","Female","Seattle City Light","51","55.19","R","Leave with Pay"
"White","Female","Seattle Department of Transportation","47","92.84","R","Active"
"Asian","Female","Seattle City Light","49","44.21","R","Active"
"White","Female","Finance and Administrative Service","38","65.41","R","Active"
"Two or More Races","Male","Seattle Fire Department","32","59.18","R","Active"
"White","Male","Seattle Fire Department","49","60.36","R","Active"
"White","Female","Seattle Fire Department","55","84.88","R","Active"
"Black or African American","Female","Construction and Inspections","58","66.50","R","Active"
"White","Female","Seattle Center","57","49.25","R","Active"
"Hispanic or Latino/a/x","Female","Community Safety and Communication Center","27","48.01","R","Active"
"Two or More Races","Male","Seattle City Light","50","77.36","R","Active"
"Two or More Races","Male","Construction and Inspections","57","78.76","R","Active"
"Black or African American","Female","Human Services","69","39.18","R","Active"
"White","Male","Seattle Police Department","44","76.46","R","Active"
"White","Female","Human Services","69","73.38","R","Active"
"White","Female","Seattle Public Utilities","66","74.86","R","Active"
"White","Male","Seattle Fire Department","56","71.27","R","Active"
"Asian","Female","Parks and Recreation Department","30","49.83","R","Active"
"White","Female","Seattle Center","56","55.19","R","Active"
"White","Female","Seattle Public Utilities","67","44.08","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","48","88.56","R","Active"
"White","Female","Seattle Department of Transportation","51","130.31","R","Active"
"White","Male","Seattle City Light","41","87.02","R","Active"
"White","Male","Seattle Police Department","47","92.52","R","Active"
"Hispanic or Latino/a/x","Female","Parks and Recreation Department","30","37.01","R","Active"
"White","Male","Finance and Administrative Service","58","65.54","R","Active"
"White","Female","Information Technology","60","74.02","R","Active"
"White","Female","Seattle Public Utilities","45","67.34","R","Active"
"White","Male","Seattle Police Department","57","51.84","R","Active"
"American Indian or Alaska Native","Non-Specified","Seattle Public Utilities","43","47.26","R","Active"
"Asian","Male","Parks and Recreation Department","45","55.67","R","Active"
"White","Male","Seattle Police Department","32","75.35","R","Active"
"White","Male","Seattle Public Utilities","55","43.39","R","Active"
"White","Male","Seattle Fire Department","42","54.03","R","Active"
"White","Male","Seattle Police Department","59","107.38","R","Active"
"White","Male","Seattle City Light","58","81.93","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","65","77.36","R","Active"
"White","Male","Seattle Department of Transportation","43","41.56","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","55","39.65","R","Active"
"Asian","Female","Seattle Public Utilities","32","84.08","R","Active"
"White","Male","Seattle Department of Transportation","43","90.46","R","Active"
"Not Specified","Male","Seattle Municipal Courts","45","72.52","R","Active"
"Asian","Male","Seattle Public Utilities","65","65.54","R","Active"
"Black or African American","Male","Seattle Public Utilities","48","43.39","R","Active"
"Black or African American","Female","Seattle Municipal Courts","64","43.20","R","Active"
"White","Male","Seattle Public Utilities","56","57.80","R","Active"
"White","Male","Community Safety and Communication Center","34","46.21","R","Active"
"White","Female","Emergency Management Office","38","71.45","R","Active"
"White","Male","Seattle Fire Department","35","51.97","R","Active"
"White","Female","Seattle Department of Transportation","35","55.70","R","Leave with Pay"
"White","Female","Seattle Center","37","76.46","R","Active"
"White","Male","Seattle Public Library","39","81.06","R","Active"
"White","Female","Parks and Recreation Department","37","26.92","T","Active"
"Two or More Races","Male","Seattle Fire Department","37","51.46","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","39","72.26","R","Active"
"White","Male","Construction and Inspections","43","76.02","R","Active"
"White","Male","Seattle Center","72","45.05","T","Active"
"White","Female","Seattle City Light","38","75.75","R","Leave with Pay"
"Not Specified","Male","Seattle Department of Transportation","40","41.92","R","Leave with Pay"
"Two or More Races","Female","Parks and Recreation Department","44","40.37","R","Active"
"Asian","Male","Seattle Police Department","31","67.13","R","Active"
"White","Male","Seattle Center","51","51.83","T","Active"
"White","Male","Seattle City Light","34","40.61","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Parks and Recreation Department","46","59.06","R","Active"
"Not Specified","Male","Finance and Administrative Service","55","62.90","R","Active"
"White","Male","Seattle Department of Transportation","37","62.40","R","Active"
"White","Male","Seattle Public Utilities","37","60.07","R","Active"
"Asian","Female","Seattle Police Department","33","65.54","R","Active"
"White","Female","Seattle Public Library","33","32.34","R","Active"
"White","Non-Specified","Seattle Public Library","37","51.99","R","Active"
"Black or African American","Female","Seattle Police Department","61","117.46","R","Active"
"White","Male","Seattle Police Department","36","76.46","R","Active"
"White","Male","Seattle Fire Department","55","63.45","R","Active"
"Black or African American","Female","Seattle Department of Transportation","42","88.56","R","Active"
"Asian","Male","Information Technology","60","79.65","R","Active"
"Black or African American","Female","Seattle Public Utilities","45","55.19","R","Active"
"White","Female","Seattle Fire Department","67","44.51","R","Active"
"White","Male","Seattle Police Department","47","55.19","R","Active"
"White","Male","Seattle City Light","39","77.36","R","Active"
"Two or More Races","Male","Legislative Department","49","79.53","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","45","43.92","R","Active"
"White","Female","Seattle Public Library","33","35.72","R","Leave with Pay"
"Asian","Female","Human Services","58","50.33","R","Active"
"Black or African American","Male","Seattle Police Department","58","51.84","R","Active"
"White","Male","Seattle Department of Transportation","53","74.86","R","Active"
"White","Male","Seattle Fire Department","42","57.64","R","Active"
"Black or African American","Male","Parks and Recreation Department","37","34.08","T","Active"
"Black or African American","Male","Seattle City Light","58","37.95","R","Active"
"White","Female","Seattle Public Utilities","48","43.71","R","Active"
"White","Female","Human Services","54","74.59","R","Active"
"White","Male","Seattle Public Library","61","45.54","R","Active"
"Two or More Races","Female","Seattle City Light","49","41.31","R","Leave with Pay"
"White","Male","Seattle Police Department","54","76.82","R","Active"
"Asian","Female","Information Technology","47","73.10","R","Active"
"White","Male","Emergency Management Office","59","72.64","R","Active"
"White","Male","Seattle Department of Transportation","58","51.58","R","Active"
"White","Male","Seattle Fire Department","33","51.46","R","Active"
"White","Female","Seattle Police Department","34","76.82","R","Active"
"White","Male","Housing Office","57","55.79","R","Active"
"Asian","Male","Seattle Public Library","31","35.72","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","31","41.32","R","Active"
"White","Male","Seattle Public Utilities","36","71.91","R","Active"
"White","Female","Seattle Public Utilities","59","84.88","R","Active"
"Asian","Male","Seattle Public Library","42","54.46","R","Active"
"Asian","Female","Seattle Department of Transportation","31","63.19","R","Active"
"White","Male","Legislative Department","29","37.00","T","Active"
"White","Male","Seattle Public Utilities","47","70.35","R","Active"
"White","Female","Neighborhoods","54","70.73","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","59","62.93","R","Active"
"White","Male","Seattle Fire Department","61","60.36","R","Active"
"White","Female","Seattle City Light","57","38.70","R","Active"
"White","Male","Seattle Public Library","53","38.96","T","Active"
"White","Male","Seattle Police Department","57","104.25","R","Active"
"Asian","Male","Seattle Fire Department","40","51.46","R","Active"
"Black or African American","Female","Seattle Public Library","65","44.70","R","Active"
"White","Male","Parks and Recreation Department","17","26.92","T","Active"
"Black or African American","Male","Seattle Department of Transportation","47","41.31","R","Active"
"Asian","Female","Finance and Administrative Service","60","30.30","R","Active"
"White","Female","Seattle Center","72","26.92","T","Active"
"Two or More Races","Female","Parks and Recreation Department","38","41.44","R","Active"
"White","Female","Human Services","48","65.54","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","29","41.66","R","Active"
"White","Female","Finance and Administrative Service","43","59.61","R","Active"
"Black or African American","Female","Seattle Center","52","28.14","T","Active"
"Asian","Female","Law Department","43","53.14","R","Active"
"White","Male","Seattle Center","73","26.92","T","Active"
"White","Female","Parks and Recreation Department","50","37.06","R","Active"
"White","Male","Seattle Public Utilities","67","34.62","R","Active"
"Asian","Male","Finance and Administrative Service","51","30.30","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","45","57.24","R","Active"
"Two or More Races","Male","Seattle Center","42","31.97","T","Active"
"Not Specified","Non-Specified","Construction and Inspections","54","56.05","R","Active"
"Not Specified","Male","Parks and Recreation Department","35","42.50","R","Active"
"Black or African American","Male","Seattle Center","61","29.11","R","Active"
"White","Male","Seattle Fire Department","39","65.54","R","Active"
"Asian","Female","Parks and Recreation Department","50","37.95","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","42","74.86","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle City Light","49","37.06","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","48","41.31","R","Active"
"Asian","Female","Human Services","51","51.46","R","Active"
"White","Female","Parks and Recreation Department","53","26.92","T","Active"
"Asian","Male","Seattle Center","73","26.92","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","38","37.06","R","Leave with Pay"
"Asian","Male","Seattle Public Utilities","45","38.70","R","Active"
"White","Female","Seattle Center","73","26.92","T","Active"
"White","Female","Seattle City Light","60","84.88","R","Active"
"Black or African American","Male","Parks and Recreation Department","27","31.97","R","Active"
"Asian","Female","Seattle Public Utilities","43","51.46","R","Active"
"White","Male","Seattle City Light","46","85.02","R","Active"
"Black or African American","Male","Seattle Center","57","31.97","T","Active"
"Black or African American","Male","Seattle Center","53","31.97","T","Active"
"White","Female","Seattle Public Utilities","45","68.38","T","Active"
"Two or More Races","Female","Housing Office","38","65.54","R","Leave with Pay"
"White","Male","Parks and Recreation Department","20","26.92","T","Active"
"White","Male","Seattle Department of Transportation","61","45.43","R","Active"
"White","Male","Parks and Recreation Department","55","37.06","R","Active"
"White","Male","Law Department","59","49.25","R","Active"
"Asian","Female","Finance and Administrative Service","53","30.30","R","Leave with Pay"
"White","Female","Parks and Recreation Department","49","41.44","R","Active"
"White","Male","Parks and Recreation Department","57","33.98","R","Active"
